,PassengerId,Age,SibSp,Parch,Fare,Sex_dummy,Embarked_Q,Embarked_C,Mrs.,Master.,Miss.,Family survive rate,Survived,C1,C2,Is Family Survive
56,57,21.0,0,0,10.5,1,0,0,0,0,1,0.0,1,0,1,0
57,58,28.5,0,0,7.2292,0,1,0,0,0,0,0.0,0,0,0,0
58,59,5.0,1,2,27.75,1,0,0,0,0,1,0.5,1,0,1,1
59,60,11.0,5,2,46.9,0,0,0,0,1,0,0.0,0,0,0,0
60,61,22.0,0,0,7.2292,0,1,0,0,0,0,0.0,0,0,0,0
61,62,38.0,0,0,80.0,1,0,0,0,0,1,0.0,1,1,0,0
62,63,45.0,1,0,83.475,0,0,0,0,0,0,0.6666666666666666,0,1,0,1
63,64,4.0,3,2,27.9,0,0,0,0,1,0,0.0,0,0,0,0
64,65,37.69701752451101,0,0,27.7208,0,1,0,0,0,0,0.0,0,1,0,0
65,66,2.369070878630497,1,1,15.2458,0,1,0,0,1,0,1.0,1,0,0,1
66,67,29.0,0,0,10.5,1,0,0,1,0,0,0.0,1,0,1,0
67,68,19.0,0,0,8.1583,0,0,0,0,0,0,0.0,0,0,0,0
68,69,17.0,4,2,7.925,1,0,0,0,0,1,0.125,1,0,0,1
69,70,26.0,2,0,8.6625,0,0,0,0,0,0,0.0,0,0,0,0
70,71,32.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
71,72,16.0,5,2,46.9,1,0,0,0,0,1,0.0,0,0,0,0
72,73,21.0,0,0,73.5,0,0,0,0,0,0,0.0,0,0,1,0
73,74,26.0,1,0,14.4542,0,1,0,0,0,0,0.0,0,0,0,0
74,75,32.0,0,0,56.4958,0,0,0,0,0,0,0.0,1,0,0,0
75,76,25.0,0,0,7.65,0,0,0,0,0,0,0.0,0,0,0,0
76,77,27.099888796654987,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
77,78,27.09905679629961,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
78,79,0.83,0,2,29.0,0,0,0,0,1,0,1.0,1,0,1,1
79,80,30.0,0,0,12.475,1,0,0,0,0,1,0.0,1,0,0,0
80,81,22.0,0,0,9.0,0,0,0,0,0,0,0.0,0,0,0,0
81,82,29.0,0,0,9.5,0,0,0,0,0,0,0.0,1,0,0,0
82,83,20.90071493189803,0,0,7.7875,1,0,1,0,0,1,0.0,1,0,0,0
83,84,28.0,0,0,47.1,0,0,0,0,0,0,0.0,0,1,0,0
84,85,17.0,0,0,10.5,1,0,0,0,0,1,0.0,1,0,1,0
85,86,33.0,3,0,15.85,1,0,0,1,0,0,0.0,1,0,0,0
86,87,16.0,1,3,34.375,0,0,0,0,0,0,0.0,0,0,0,0
87,88,27.09905679629961,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
88,89,23.0,3,2,263.0,1,0,0,0,0,1,0.3333333333333333,1,1,0,1
89,90,24.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
90,91,29.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
91,92,20.0,0,0,7.8542,0,0,0,0,0,0,0.0,0,0,0,0
92,93,46.0,1,0,61.175,0,0,0,0,0,0,0.0,0,1,0,0
93,94,26.0,1,2,20.575,0,0,0,0,0,0,1.0,0,0,0,1
94,95,59.0,0,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
95,96,27.09905679629961,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
96,97,71.0,0,0,34.6542,0,1,0,0,0,0,0.0,0,1,0,0
97,98,23.0,0,1,63.3583,0,1,0,0,0,0,0.0,1,1,0,0
98,99,34.0,0,1,23.0,1,0,0,1,0,0,1.0,1,0,1,1
99,100,34.0,1,0,26.0,0,0,0,0,0,0,1.0,0,0,1,1
100,101,28.0,0,0,7.8958,1,0,0,0,0,1,0.0,0,0,0,0
101,102,27.099888796654987,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
102,103,21.0,0,1,77.2875,0,0,0,0,0,0,0.0,0,1,0,0
103,104,33.0,0,0,8.6542,0,0,0,0,0,0,0.0,0,0,0,0
104,105,37.0,2,0,7.925,0,0,0,0,0,0,0.0,0,0,0,0
105,106,28.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
106,107,21.0,0,0,7.65,1,0,0,0,0,1,0.0,1,0,0,0
107,108,27.10054058422474,0,0,7.775,0,0,0,0,0,0,0.0,1,0,0,0
108,109,38.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
109,110,21.165953171681767,1,0,24.15,1,0,1,0,0,1,0.0,1,0,0,0
110,111,47.0,0,0,52.0,0,0,0,0,0,0,0.0,0,1,0,0
111,112,14.5,1,0,14.4542,1,1,0,0,0,1,0.0,0,0,0,0
112,113,22.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
113,114,20.0,1,0,9.825,1,0,0,0,0,1,0.5,0,0,0,1
114,115,17.0,0,0,14.4583,1,1,0,0,0,1,0.0,0,0,0,0
115,116,21.0,0,0,7.925,0,0,0,0,0,0,0.0,0,0,0,0
116,117,70.5,0,0,7.75,0,0,1,0,0,0,0.0,0,0,0,0
117,118,29.0,1,0,21.0,0,0,0,0,0,0,0.0,0,0,1,0
118,119,24.0,0,1,247.5208,0,1,0,0,0,0,1.0,0,1,0,1
119,120,2.0,4,2,31.275,1,0,0,0,0,1,0.25,0,0,0,1
120,121,21.0,2,0,73.5,0,0,0,0,0,0,0.0,0,0,1,0
121,122,27.09905679629961,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
122,123,32.5,1,0,30.0708,0,1,0,0,0,0,1.0,0,0,1,1
123,124,32.5,0,0,13.0,1,0,0,0,0,1,0.0,1,0,1,0
124,125,54.0,0,1,77.2875,0,0,0,0,0,0,0.0,0,1,0,0
125,126,12.0,1,0,11.2417,0,1,0,0,1,0,1.0,1,0,0,1
126,127,30.90475975546834,0,0,7.75,0,0,1,0,0,0,0.0,0,0,0,0
127,128,24.0,0,0,7.1417,0,0,0,0,0,0,0.0,1,0,0,0
128,129,7.649730284830787,1,1,22.3583,1,1,0,0,0,1,1.0,1,0,0,1
129,130,45.0,0,0,6.975,0,0,0,0,0,0,0.0,0,0,0,0
130,131,33.0,0,0,7.8958,0,1,0,0,0,0,0.0,0,0,0,0
131,132,20.0,0,0,7.05,0,0,0,0,0,0,0.0,0,0,0,0
132,133,47.0,1,0,14.5,1,0,0,1,0,0,0.0,0,0,0,0
133,134,29.0,1,0,26.0,1,0,0,1,0,0,0.0,1,0,1,0
134,135,25.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
135,136,23.0,0,0,15.0458,0,1,0,0,0,0,0.0,0,0,1,0
136,137,19.0,0,2,26.2833,1,0,0,0,0,1,0.0,1,1,0,0
137,138,37.0,1,0,53.1,0,0,0,0,0,0,1.0,0,1,0,1
138,139,16.0,0,0,9.2167,0,0,0,0,0,0,0.0,0,0,0,0
139,140,24.0,0,0,79.2,0,1,0,0,0,0,0.0,0,1,0,0
140,141,31.596170580246124,0,2,15.2458,1,1,0,1,0,0,0.0,0,0,0,0
141,142,22.0,0,0,7.75,1,0,0,0,0,1,0.0,1,0,0,0
142,143,24.0,1,0,15.85,1,0,0,1,0,0,0.0,1,0,0,0
143,144,19.0,0,0,6.75,0,0,1,0,0,0,0.0,0,0,0,0
144,145,18.0,0,0,11.5,0,0,0,0,0,0,0.0,0,0,1,0
145,146,19.0,1,1,36.75,0,0,0,0,0,0,0.0,0,0,1,0
146,147,27.0,0,0,7.7958,0,0,0,0,0,0,0.125,1,0,0,1
147,148,9.0,2,2,34.375,1,0,0,0,0,1,0.0,0,0,0,0
148,149,36.5,0,2,26.0,0,0,0,0,0,0,1.0,0,0,1,1
149,150,42.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
150,151,51.0,0,0,12.525,0,0,0,0,0,0,0.0,0,0,1,0
151,152,22.0,1,0,66.6,1,0,0,1,0,0,0.0,1,1,0,0
152,153,55.5,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
153,154,40.5,0,2,14.5,0,0,0,0,0,0,0.0,0,0,0,0
154,155,27.103036045733965,0,0,7.3125,0,0,0,0,0,0,0.0,0,0,0,0
155,156,51.0,0,1,61.3792,0,1,0,0,0,0,0.3333333333333333,0,1,0,1
156,157,16.0,0,0,7.7333,1,0,1,0,0,1,0.0,1,0,0,0
157,158,30.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
158,159,27.09575199591965,0,0,8.6625,0,0,0,0,0,0,0.0,0,0,0,0
159,160,6.216026513691206,8,2,69.55,0,0,0,0,1,0,0.0,0,0,0,0
160,161,44.0,0,1,16.1,0,0,0,0,0,0,0.0,0,0,0,0
161,162,40.0,0,0,15.75,1,0,0,1,0,0,0.0,1,0,1,0
162,163,26.0,0,0,7.775,0,0,0,0,0,0,0.0,0,0,0,0
163,164,17.0,0,0,8.6625,0,0,0,0,0,0,0.0,0,0,0,0
164,165,1.0,4,1,39.6875,0,0,0,0,1,0,0.0,0,0,0,0
165,166,9.0,0,2,20.525,0,0,0,0,1,0,0.5,1,0,0,1
166,167,38.866532127222406,0,1,55.0,1,0,0,1,0,0,0.0,1,1,0,0
167,168,45.0,1,4,27.9,1,0,0,1,0,0,0.0,0,0,0,0
168,169,39.098538366569684,0,0,25.925,0,0,0,0,0,0,0.0,0,1,0,0
169,170,28.0,0,0,56.4958,0,0,0,0,0,0,0.0,0,0,0,0
170,171,61.0,0,0,33.5,0,0,0,0,0,0,0.0,0,1,0,0
171,172,4.0,4,1,29.125,0,0,1,0,1,0,0.0,0,0,0,0
172,173,1.0,1,1,11.1333,1,0,0,0,0,1,0.4,1,0,0,1
173,174,21.0,0,0,7.925,0,0,0,0,0,0,0.0,0,0,0,0
174,175,56.0,0,0,30.6958,0,1,0,0,0,0,0.3333333333333333,0,1,0,1
175,176,18.0,1,1,7.8542,0,0,0,0,0,0,0.0,0,0,0,0
176,177,4.036171829791572,3,1,25.4667,0,0,0,0,1,0,0.0,0,0,0,0
177,178,50.0,0,0,28.7125,1,1,0,0,0,1,0.0,0,1,0,0
178,179,30.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
179,180,36.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0
180,181,8.849875730344856,8,2,69.55,1,0,0,0,0,1,0.0,0,0,0,0
181,182,31.71742010468771,0,0,15.05,0,1,0,0,0,0,0.0,0,0,1,0
182,183,9.0,4,2,31.3875,0,0,0,0,1,0,1.0,0,0,0,1
183,184,1.0,2,1,39.0,0,0,0,0,1,0,1.0,1,0,1,1
184,185,4.0,0,2,22.025,1,0,0,0,0,1,0.0,1,0,0,0
185,186,38.968639478237904,0,0,50.0,0,0,0,0,0,0,0.0,0,1,0,0
186,187,28.660819671137816,1,0,15.5,1,0,1,1,0,0,0.0,1,0,0,0
187,188,45.0,0,0,26.55,0,0,0,0,0,0,0.0,1,1,0,0
188,189,40.0,1,1,15.5,0,0,1,0,0,0,0.0,0,0,0,0
189,190,36.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
190,191,32.0,0,0,13.0,1,0,0,1,0,0,0.0,1,0,1,0
191,192,19.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
192,193,19.0,1,0,7.8542,1,0,0,0,0,1,0.0,1,0,0,0
193,194,3.0,1,1,26.0,0,0,0,0,1,0,0.5,1,0,1,1
194,195,44.0,0,0,27.7208,1,1,0,1,0,0,0.6666666666666666,1,1,0,1
195,196,58.0,0,0,146.5208,1,1,0,0,0,1,0.0,1,1,0,0
196,197,30.90475975546834,0,0,7.75,0,0,1,0,0,0,0.0,0,0,0,0
197,198,42.0,0,1,8.4042,0,0,0,0,0,0,0.0,0,0,0,0
198,199,20.899618063614305,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
199,200,24.0,0,0,13.0,1,0,0,1,0,1,0.0,0,0,1,0
201,201,28.0,0,0,9.5,0,0,0,0,0,0,0.0,0,0,0,0
202,202,6.32595990905164,8,2,69.55,0,0,0,0,0,0,0.0,0,0,0,0
203,203,34.0,0,0,6.4958,0,0,0,0,0,0,0.0,0,0,0,0
204,204,45.5,0,0,7.225,0,1,0,0,0,0,0.0,0,0,0,0
205,205,18.0,0,0,8.05,0,0,0,0,0,0,0.0,1,0,0,0
206,206,2.0,0,1,10.4625,1,0,0,0,0,1,0.0,0,0,0,0
207,207,32.0,1,0,15.85,0,0,0,0,0,0,1.0,0,0,0,1
208,208,26.0,0,0,18.7875,0,1,0,0,0,0,0.0,1,0,0,0
209,209,16.0,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
210,210,40.0,0,0,31.0,0,1,0,0,0,0,0.0,1,1,0,0
211,211,24.0,0,0,7.05,0,0,0,0,0,0,0.0,0,0,0,0
212,212,35.0,0,0,21.0,1,0,0,0,0,1,0.0,1,0,1,0
213,213,22.0,0,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
214,214,30.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
215,215,28.354933977009033,1,0,7.75,0,0,1,0,0,0,0.0,0,0,0,0
216,216,31.0,1,0,113.275,1,1,0,0,0,1,0.5,1,1,0,1
217,217,27.0,0,0,7.925,1,0,0,0,0,1,0.0,1,0,0,0
218,218,42.0,1,0,27.0,0,0,0,0,0,0,1.0,0,0,1,1
219,219,32.0,0,0,76.2917,1,1,0,0,0,1,0.0,1,1,0,0
220,220,30.0,0,0,10.5,0,0,0,0,0,0,0.6666666666666666,0,0,1,1
221,221,16.0,0,0,8.05,0,0,0,0,0,0,0.0,1,0,0,0
222,222,27.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
223,223,51.0,0,0,8.05,0,0,0,0,0,0,0.0,0,0,0,0
224,224,27.099888796654987,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
225,225,38.0,1,0,90.0,0,0,0,0,0,0,0.5,1,1,0,1
226,226,22.0,0,0,9.35,0,0,0,0,0,0,0.0,0,0,0,0
227,227,19.0,0,0,10.5,0,0,0,0,0,0,0.0,1,0,1,0
228,228,20.5,0,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
229,229,18.0,0,0,13.0,0,0,0,0,0,0,0.0,0,0,1,0
230,230,15.202508746635239,3,1,25.4667,1,0,0,0,0,1,0.0,0,0,0,0
231,231,35.0,1,0,83.475,1,0,0,1,0,0,0.3333333333333333,1,1,0,1
232,232,29.0,0,0,7.775,0,0,0,0,0,0,0.0,0,0,0,0
233,233,59.0,0,0,13.5,0,0,0,0,0,0,0.0,0,0,1,0
234,234,5.0,4,2,31.3875,1,0,0,0,0,1,0.6666666666666666,1,0,0,1
235,235,24.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
236,236,21.89378621678995,0,0,7.55,1,0,0,0,0,1,0.0,0,0,0,0
237,237,44.0,1,0,26.0,0,0,0,0,0,0,0.0,0,0,1,0
238,238,8.0,0,2,26.25,1,0,0,0,0,1,0.5,1,0,1,1
239,239,19.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
240,240,33.0,0,0,12.275,0,0,0,0,0,0,0.0,0,0,1,0
241,241,19.525026835842176,1,0,14.4542,1,1,0,0,0,1,0.0,0,0,0,0
242,242,15.381704030569587,1,0,15.5,1,0,1,0,0,1,1.0,1,0,0,1
243,243,29.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
244,244,22.0,0,0,7.125,0,0,0,0,0,0,0.0,0,0,0,0
245,245,30.0,0,0,7.225,0,1,0,0,0,0,0.0,0,0,0,0
246,246,44.0,2,0,90.0,0,0,1,0,0,0,1.0,0,1,0,1
247,247,25.0,0,0,7.775,1,0,0,0,0,1,0.0,0,0,0,0
248,248,24.0,0,2,14.5,1,0,0,1,0,0,1.0,1,0,1,1
249,249,37.0,1,1,52.5542,0,0,0,0,0,0,1.0,1,1,0,1
250,250,54.0,1,0,26.0,0,0,0,0,0,0,0.8,0,0,1,1
251,251,27.10337327026601,0,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
252,252,29.0,1,1,10.4625,1,0,0,1,0,0,0.0,0,0,0,0
253,253,62.0,0,0,26.55,0,0,0,0,0,0,0.0,0,1,0,0
254,254,30.0,1,0,16.1,0,0,0,0,0,0,0.0,0,0,0,0
255,255,41.0,0,2,20.2125,1,0,0,1,0,0,0.0,0,0,0,0
256,256,29.0,0,2,15.2458,1,1,0,1,0,0,0.0,1,0,0,0
257,257,36.86958099886944,0,0,79.2,1,1,0,1,0,0,0.0,1,1,0,0
258,258,30.0,0,0,86.5,1,0,0,0,0,1,0.0,1,1,0,0
259,259,35.0,0,0,512.3292,1,1,0,0,0,1,0.0,1,1,0,0
260,260,50.0,0,1,26.0,1,0,0,1,0,0,0.0,1,0,1,0
261,261,32.0355145040198,0,0,7.75,0,0,1,0,0,0,0.3333333333333333,0,0,0,1
262,262,3.0,4,2,31.3875,0,0,0,0,1,0,0.6666666666666666,1,0,0,1
263,263,52.0,1,1,79.65,0,0,0,0,0,0,1.0,0,1,0,1
264,264,40.0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0
265,265,20.899618063614305,0,0,7.75,1,0,1,0,0,1,0.0,0,0,0,0
266,266,36.0,0,0,10.5,0,0,0,0,0,0,0.0,0,0,1,0
267,267,16.0,4,1,39.6875,0,0,0,0,0,0,0.0,0,0,0,0
268,268,25.0,1,0,7.775,0,0,0,0,0,0,0.0,1,0,0,0
269,269,58.0,0,1,153.4625,1,0,0,1,0,0,0.5,1,1,0,1
270,270,35.0,0,0,135.6333,1,0,0,0,0,1,0.0,1,1,0,0
271,271,39.071155734853576,0,0,31.0,0,0,0,0,0,0,0.0,0,1,0,0
272,272,25.0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0
273,273,41.0,0,1,19.5,1,0,0,1,0,0,1.0,1,0,1,1
274,274,37.0,0,1,29.7,0,1,0,0,0,0,0.0,0,1,0,0
275,275,20.899618063614305,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
276,276,63.0,1,0,77.9583,1,0,0,0,0,1,0.0,1,1,0,0
277,277,45.0,0,0,7.75,1,0,0,0,0,1,0.0,0,0,0,0
278,278,33.190455208237054,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0
279,279,7.0,4,1,29.125,0,0,1,0,1,0,0.0,0,0,0,0
280,280,35.0,1,1,20.25,1,0,0,1,0,0,0.0,1,0,0,0
281,281,65.0,0,0,7.75,0,0,1,0,0,0,0.0,0,0,0,0
282,282,28.0,0,0,7.8542,0,0,0,0,0,0,0.0,0,0,0,0
283,283,16.0,0,0,9.5,0,0,0,0,0,0,0.0,0,0,0,0
284,284,19.0,0,0,8.05,0,0,0,0,0,0,0.0,1,0,0,0
285,285,40.228888445665206,0,0,26.0,0,0,0,0,0,0,0.3333333333333333,0,1,0,1
286,286,33.0,0,0,8.6625,0,1,0,0,0,0,0.0,0,0,0,0
287,287,30.0,0,0,9.5,0,0,0,0,0,0,0.0,1,0,0,0
288,288,22.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
289,289,42.0,0,0,13.0,0,0,0,0,0,0,0.0,1,0,1,0
290,290,22.0,0,0,7.75,1,0,1,0,0,1,0.0,1,0,0,0
291,291,26.0,0,0,78.85,1,0,0,0,0,1,0.0,1,1,0,0
292,292,19.0,1,0,91.0792,1,1,0,1,0,0,1.0,1,1,0,1
293,293,36.0,0,0,12.875,0,1,0,0,0,0,0.0,0,0,1,0
294,294,24.0,0,0,8.85,1,0,0,0,0,1,0.0,0,0,0,0
295,295,24.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
296,296,37.69701752451101,0,0,27.7208,0,1,0,0,0,0,0.0,0,1,0,0
297,297,23.5,0,0,7.2292,0,1,0,0,0,0,0.0,0,0,0,0
298,298,2.0,1,2,151.55,1,0,0,0,0,1,0.5,0,1,0,1
299,299,39.0738535311095,0,0,30.5,0,0,0,0,0,0,0.0,1,1,0,0
300,300,50.0,0,1,247.5208,1,1,0,1,0,0,0.0,1,1,0,0
301,301,17.212125936985366,0,0,7.75,1,0,1,0,0,1,0.6666666666666666,1,0,0,1
302,302,29.113740761163932,2,0,23.25,0,0,1,0,0,0,1.0,1,0,0,1
303,303,19.0,0,0,0.0,0,0,0,0,0,0,0.6,0,0,0,1
304,304,25.938797920780797,0,0,12.35,1,0,1,0,0,1,0.0,1,0,1,0
305,305,28.229811544845838,0,0,8.05,0,0,0,0,0,0,0.3333333333333333,0,0,0,1
306,306,0.92,1,2,151.55,0,0,0,0,1,0,0.0,1,1,0,0
307,307,32.36818406173851,0,0,110.8833,1,1,0,0,0,1,0.0,1,1,0,0
308,308,17.0,1,0,108.9,1,1,0,1,0,0,0.0,1,1,0,0
309,309,30.0,1,0,24.0,0,1,0,0,0,0,1.0,0,0,1,1
310,310,30.0,0,0,56.9292,1,1,0,0,0,1,0.0,1,1,0,0
311,311,24.0,0,0,83.1583,1,1,0,0,0,1,1.0,1,1,0,1
312,312,18.0,2,2,262.375,1,1,0,0,0,1,1.0,1,1,0,1
313,313,26.0,1,1,26.0,1,0,0,1,0,0,0.0,0,0,1,0
314,314,28.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
315,315,43.0,1,1,26.25,0,0,0,0,0,0,0.6666666666666666,0,0,1,1
316,316,26.0,0,0,7.8542,1,0,0,0,0,1,0.0,1,0,0,0
317,317,24.0,1,0,26.0,1,0,0,1,0,0,0.0,1,0,1,0
318,318,54.0,0,0,14.0,0,0,0,0,0,0,0.0,0,0,1,0
319,319,31.0,0,2,164.8667,1,0,0,0,0,1,1.0,1,1,0,1
320,320,40.0,1,1,134.5,1,1,0,1,0,0,0.0,1,1,0,0
321,321,22.0,0,0,7.25,0,0,0,0,0,0,0.0,0,0,0,0
322,322,27.0,0,0,7.8958,0,0,0,0,0,0,0.0,0,0,0,0
323,323,30.0,0,0,12.35,1,0,1,0,0,1,0.0,1,0,1,0
324,324,22.0,1,1,29.0,1,0,0,1,0,0,1.0,1,0,1,1
325,325,6.32595990905164,8,2,69.55,0,0,0,0,0,0,0.0,0,0,0,0
326,326,36.0,0,0,135.6333,1,1,0,0,0,1,0.0,1,1,0,0
327,327,61.0,0,0,6.2375,0,0,0,0,0,0,0.0,0,0,0,0
328,328,36.0,0,0,13.0,1,0,0,1,0,0,0.0,1,0,1,0
329,329,31.0,1,1,20.525,1,0,0,1,0,0,0.5,1,0,0,1
330,330,16.0,0,1,57.9792,1,1,0,0,0,1,1.0,1,1,0,1
331,331,15.395028187460902,2,0,23.25,1,0,1,0,0,1,1.0,1,0,0,1
332,332,45.5,0,0,28.5,0,0,0,0,0,0,0.0,0,1,0,0
333,333,38.0,0,1,153.4625,0,0,0,0,0,0,1.0,0,1,0,1
334,334,16.0,2,0,18.0,0,0,0,0,0,0,0.0,0,0,0,0
